TaskID,Input1,Output1_1,Noise1_1,LST
21,-0.44988814,0.5567019,0.5095766,1
21,-0.41279528,0.46940464,0.534184,1
21,-0.37494662,0.4007094,0.5779791,1
21,-0.33633506,0.31751308,0.6859291,1
21,-0.29686272,0.2369534,0.8515891,1
21,-0.25660467,0.17440973,0.8265424,1
21,-0.21560514,0.10644665,0.9296588,1
21,-0.17375208,0.030134786,1.154933,1
22,-1.8655541,-1.6847613,0.23962845,1
22,-1.7781163,-1.7051208,0.17547363,1
22,-1.69025,-1.7002873,0.119521275,1
22,-1.6032754,-1.6708465,0.09769693,1
22,-1.5184004,-1.6178235,0.088176236,1
22,-1.4364413,-1.5505928,0.08685799,1
22,-1.3580723,-1.4564112,0.07133194,1
22,-1.2841845,-1.3267833,0.07411491,1
22,-1.2153951,-1.1680075,0.064740695,1
22,-1.1517676,-0.9893115,0.06195772,1
22,-1.0929592,-0.8005089,0.06635189,1
22,-1.038451,-0.6073121,0.07147841,1
22,-0.98768693,-0.4160195,0.07411491,1
22,-0.9400189,-0.2453793,0.08744387,1
22,-0.8951221,-0.045884296,0.10516701,1
22,-0.85272855,0.12607409,0.11761714,1
22,-0.81244797,0.30564886,0.12860255,1
22,-0.7740413,0.46852583,0.13534027,1
22,-0.736955,0.5643188,0.1431033,1
22,-0.7006492,0.6302312,0.16243762,1
22,-0.6647555,0.65044445,0.1784031,1
22,-0.6288018,0.612801,0.18968144,1
22,-0.59231776,0.5316553,0.18748437,1
22,-0.5548611,0.4067146,0.23611313,1
22,-0.51600575,0.25482303,0.2829842,1
22,-0.4753622,0.081400044,0.2872319,1
22,-0.43282297,-0.059945725,0.32238522,1
22,-0.38829833,-0.21960029,0.3550485,1
22,-0.34173793,-0.34146523,0.36954924,1
22,-0.293437,-0.44165212,0.4003084,1
22,-0.24365076,-0.518843,0.4354617,1
22,-0.1926368,-0.58080065,0.42652693,1
22,-0.14055626,-0.6347023,0.46944326,1
22,-0.087443426,-0.68875057,0.5028389,1
